Functional_Type,Morphotype,Order,Family,Genus,Species,H8,H39,H40,H42,OTI1,OTI8,OTI20,OTI25,OTI33,OTI34,OTI36,OTI38,OTI39,OTI43,OTI47,OTI51,OTI52,OTI53,OTI54,W1,W2,W7,W12,W15,W20,W21
Opportunistic,Flattened.tapered,Rotaliida,Bolivinellidae,Rugobolivinella,Bolivinella elegans,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Opportunistic,Tapered.cylindrical,Rotaliida,Buliminoididae,Buliminoides,Buliminoides williamsoniana,0,0,0,0,0,0,3,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,2
Symbiont,Biconvex.trochospiral,Rotaliida,Calcarinidae,Calcarina,Calcarina capricornia n. sp.,29,11,59,76,5,0,12,2,10,3,16,3,98,9,3,15,56,21,103,19,10,5,4,12,27,2
Symbiont,Biconvex.trochospiral,Rotaliida,Calcarinidae,Calcarina,Calcarina mayori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Heterotrophic,Flattened.ovoid,Nodosariida,Lagenidae,Seguenzaella,Cerebrina lacunata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Heterotrophic,Plano.convex,Rotaliida,Cibicididae,Cibicidoides,Cibicioides cf. C. basilanensis,0,0,1,5,2,10,7,0,0,4,0,2,6,17,12,6,2,3,0,0,1,1,4,4,0,0
Heterotrophic,Plano.convex,Spirillinida,Planispirillinidae,Conicospirillinoides,Conicospirillinoides sp. 1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Heterotrophic,Rounded.planispiral,Miliolida,Cornuspiridae,Cornuspira,Cornuspira planorbis,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Heterotrophic,Plano.convex,Rotaliida,Cymbaloporidae,Cymbaloporella,Cymbaloporella tabellaeformis,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,1,2,3,0,0,0,2,0,0,0
Heterotrophic,Plano.convex,Rotaliida,Cymbaloporidae,Cymbaloporetta,Cymbaloporetta bradyi,7,0,7,5,5,3,14,0,7,4,27,4,3,4,8,25,12,3,10,4,10,0,5,5,11,0
Heterotrophic,Plano.convex,Rotaliida,Cymbaloporidae,Cymbaloporetta,Cymbaloporetta sp. 1,0,0,0,0,0,4,8,4,13,0,0,2,8,0,7,0,1,3,2,0,3,5,0,0,3,0
Heterotrophic,Rounded.planispiral,Rotaliida,Elphidiidae,Elphidium,Elphidium advenum,20,23,7,0,33,23,18,15,16,15,30,14,6,30,8,3,19,27,19,41,30,46,19,39,23,48
Heterotrophic,Rounded.planispiral,Rotaliida,Elphidiidae,Elphidium,Elphidium craticulatum,9,3,10,2,5,0,1,0,2,3,3,0,4,2,5,0,6,2,7,1,1,3,23,14,2,0
Heterotrophic,Rounded.planispiral,Rotaliida,Elphidiidae,Elphidium,Elphidium cf. E. excavatum,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Heterotrophic,Rounded.planispiral,Rotaliida,Elphidiidae,Elphidium,Elphidium macellum,5,0,0,2,2,1,5,2,0,3,3,0,1,3,2,2,4,0,0,1,1,3,2,3,2,0
Heterotrophic,Rounded.planispiral,Rotaliida,Elphidiidae,Elphidium,Elphidium maorium,11,10,4,3,15,13,5,7,9,24,11,6,3,13,21,14,0,0,0,9,9,9,7,10,8,14
Heterotrophic,Rounded.planispiral,Rotaliida,Notorotaliidae,Cristatavultus,Elphidium milletti,0,1,4,0,0,0,3,4,4,19,5,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0
Heterotrophic,Biconvex.trochospiral,Rotaliida,Anomalinidae,Epistomaroides,Epistomaroides polystomelloides,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
